,x1,y1,x2,y2,id
0,502.1304363,198.3478315,512.1304363,208.3478315,189
1,501.2380885,302.7619029,511.2380885,312.7619029,188
2,500.6666624,124.7999872,510.6666624,134.7999872,187
3,500.9285675,113.6428587,510.9285675,123.6428587,186
4,500.1874987,247.0937472,510.1874987,257.0937472,185
5,497.6956629,67.3043328,507.6956629,77.3043328,184
6,497.6896555,133.6896384,507.6896555,143.6896384,183
7,497.5263275,224.9736747,507.5263275,234.9736747,182
8,490.3684309,280.55264,500.3684309,290.55264,181
9,491.0908971,177.8181675,501.0908971,187.8181675,180
10,485.0263253,40.0789376,495.0263253,50.0789376,179
11,482.1707307,321.8292608,492.1707307,331.8292608,178
12,477.0000085,404.6249856,487.0000085,414.6249856,177
13,474.5384491,368.9999915,484.5384491,378.9999915,176
14,475.0333483,191.3999915,485.0333483,201.3999915,175
15,474.6101632,165.7966123,484.6101632,175.7966123,174
16,470.0312448,144.5937365,480.0312448,154.5937365,173
17,461.5814016,374.7674325,471.5814016,384.7674325,172
18,458.6399957,349.4999936,468.6399957,359.4999936,171
19,459.2325504,332.2325547,469.2325504,342.2325547,170
20,456.6585216,313.1707264,466.6585216,323.1707264,169
21,455.635136,192.7567573,465.635136,202.7567573,168
22,449.4285696,135.8095232,459.4285696,145.8095232,167
23,449.9428565,286.6571477,459.9428565,296.6571477,166
24,450.478272,5.978269867,460.478272,15.97826987,165
25,446.6333227,70.93332053,456.6333227,80.93332053,164
26,445.6842112,38.73684907,455.6842112,48.73684907,163
27,445.1612885,213.2903125,455.1612885,223.2903125,162
28,440.3333333,232.8000043,450.3333333,242.8000043,161
29,442.3636523,27.484864,452.3636523,37.484864,160
30,433.1333504,45.79999147,443.1333504,55.79999147,159
31,432.8636288,149.3636309,442.8636288,159.3636309,158
32,438.1851861,375.3333291,448.1851861,385.3333291,157
33,431.4615339,60.58976,441.4615339,70.58976,156
34,430.9740416,281.5324715,440.9740416,291.5324715,155
35,428.6818176,98.5227136,438.6818176,108.5227136,154
36,426.2790699,418.7906944,436.2790699,428.7906944,153
37,425.1428736,205.0237995,435.1428736,215.0237995,152
38,424.9000149,310.0000128,434.9000149,320.0000128,151
39,421.3658496,81.31709013,431.3658496,91.31709013,150
40,421.9493589,175.3544235,431.9493589,185.3544235,149
41,407.0270165,392.5135232,417.0270165,402.5135232,148
42,403.5833387,220.0000043,413.5833387,230.0000043,147
43,405.4523776,453.9761877,415.4523776,463.9761877,146
44,401.0714325,343.9999872,411.0714325,353.9999872,145
45,395.5806421,406.7741909,405.5806421,416.7741909,144
46,397.2245035,74.83674027,407.2245035,84.83674027,143
47,387.4999851,364.0000043,397.4999851,374.0000043,142
48,387.4999851,360.3333333,397.4999851,370.3333333,141
49,388.2777813,348.0000043,398.2777813,358.0000043,140
50,389.4999936,310.4999979,399.4999936,320.4999979,139
51,385.9999957,397.7368448,395.9999957,407.7368448,138
52,385.6750123,116.4999893,395.6750123,126.4999893,137
53,381.5952256,231.071424,391.5952256,241.071424,136
54,377.5555456,367.7777792,387.5555456,377.7777792,135
55,378.5799893,332.1200171,388.5799893,342.1200171,134
56,376.3333333,408.6428544,386.3333333,418.6428544,133
