frame,GTID,x,y
1,2621,-0.006936098,0.025776743
1,1543,-0.007307045,0.028980671
1,2622,-0.007240084,0.02640625
1,333,-0.007117746,0.036660156
1,4665,-0.006996745,0.037184896
1,2618,-0.006720534,0.027606389
1,2597,-0.006958008,0.028493304
1,0,-0.006626352,0.033852163
1,3911,-0.006798207,0.033132102
1,2325,-0.006686303,0.025171686
1,2613,-0.006538654,0.02840843
1,5018,-0.00655464,0.03454959
1,2611,-0.006395293,0.02904678
1,2608,-0.00620894,0.030362882
1,2571,-0.006057422,0.027218555
1,2600,-0.005892001,0.032305797
1,2579,-0.005880127,0.031461182
1,1075,-0.005762804,0.026694878
1,2589,-0.005656672,0.029724451
1,4757,-0.005554142,0.033286019
1,2603,-0.005447754,0.027716309
1,2591,-0.005606816,0.030448545
1,4679,-0.005456699,0.036694648
1,2598,-0.005469264,0.033672903
1,3760,-0.005334242,0.023140662
1,2588,-0.005233745,0.030516003
1,447,-0.005213797,0.023731515
1,2599,-0.005068359,0.028357685
1,2593,-0.005114397,0.036292969
1,3912,-0.004910993,0.031796317
1,4760,-0.004833347,0.033053881
1,820,-0.004878976,0.022721819
1,0,-0.004743896,0.026699707
1,2595,-0.004780273,0.029194336
1,1458,-0.004617587,0.034248713
1,4762,-0.004153085,0.032933728
1,1150,-0.00419257,0.029429023
1,2511,-0.004035435,0.026301897
1,3913,-0.004004962,0.031547192
1,810,-0.003817749,0.02816803
1,1019,-0.003714535,0.028987716
1,382,-0.003398808,0.035343527
1,3914,-0.00349985,0.031445313
1,2576,-0.00355957,0.033383789
1,4766,-0.003474609,0.032607422
1,4766,-0.003375,0.032748047
1,5105,-0.003222656,0.036594655
1,2573,-0.00300293,0.033925781
1,2573,-0.002877197,0.033916016
1,1500,-0.00280464,0.03687762
1,2554,-0.002602915,0.035858924
1,2471,-0.002578125,0.025949707
1,1363,-0.002501817,0.030005451
1,1504,-0.002397949,0.037372559
1,5107,-0.002373744,0.03507115
1,1151,-0.002138672,0.026938477
1,362,-0.002121582,0.034352214
1,4776,-0.00202259,0.030883328
1,3915,-0.001980678,0.031669922
1,1232,-0.002017299,0.029302455
1,5104,-0.001962891,0.033835449
1,1491,-0.001908605,0.036430664
1,1165,-0.001753043,0.022920376
1,431,-0.001466346,0.030842849
1,1227,-0.00144043,0.03179827
1,274,-0.001490319,0.024595363
1,4777,-0.001339453,0.030165234
1,0,-0.001279297,0.030598958
1,1392,-0.001074609,0.031412695
1,5110,-0.00100708,0.032235921
1,4783,-0.000911571,0.029094491
1,398,-0.000956577,0.035514626
1,3117,-0.000770508,0.023132813
1,1728,-0.000610248,0.026914478
1,4716,-0.000517578,0.036192801
1,2569,-0.000417866,0.033162521
1,834,-0.000351563,0.02597168
1,4790,1.12E-05,0.027652326
1,4973,-0.000252587,0.028375211
1,3124,-0.000164857,0.023667406
1,4794,-0.000248162,0.024931641
1,4793,-0.000174154,0.025517578
1,4971,-0.000139339,0.02898104
1,4792,6.66E-05,0.02646195
1,5111,9.39E-05,0.030292303
1,0,0.00016975,0.032529871
1,4644,0.000143104,0.035285269
1,414,-6.28E-05,0.028564453
1,414,4.39E-05,0.028575439
1,2558,0.000121528,0.03468099
1,5114,0.000354372,0.029737933
1,5106,0.000194285,0.030917455
1,4610,0.000240479,0.031241455
1,839,0.000359933,0.025623406
1,441,0.000631911,0.023913011
1,1216,0.000585938,0.024707323
1,3016,0.000552786,0.035688991
1,5091,0.000679573,0.031341337
1,3029,0.000668132,0.035013835
1,4962,0.000961502,0.030423216
1,4791,0.000703125,0.027507102
1,445,0.000854868,0.02279973
1,3035,0.000815217,0.034590693
1,0,0.000961702,0.027069676
1,2363,0.001282169,0.024787224
1,4609,0.001382161,0.03153125
1,4728,0.001376139,0.034746908
1,2557,0.001531519,0.033988416
1,4954,0.001552734,0.03209739
1,4961,0.001883203,0.032275781
1,4702,0.001898872,0.037332899
1,852,0.00233234,0.024663343
1,4788,0.002046494,0.027087462
1,4950,0.002028809,0.033280334
1,4608,0.002163783,0.031796317
1,4119,0.002372461,0.025460156
1,1428,0.002548828,0.032797852
1,2532,0.002719623,0.03651762
1,4959,0.002762198,0.033559294
1,1414,0.002783203,0.032700639
1,1487,0.002878418,0.037426758
1,4960,0.003133639,0.031194974
1,4786,0.002965152,0.026743421
1,1445,0.003029563,0.033911133
1,4995,0.003203613,0.032403809
1,4943,0.00320355,0.035104025
1,4331,0.003265475,0.029621394
1,1238,0.003294481,0.029158896
1,1196,0.003607788,0.027540283
1,1341,0.003578944,0.030946951
1,1333,0.003547852,0.030581543
1,4784,0.003584473,0.026484375
1,1471,0.003671875,0.034618443
1,4981,0.003737695,0.032376563
1,4942,0.003707682,0.033421224
1,4330,0.003826032,0.029416155
1,3217,0.003945557,0.02605957
1,1469,0.003955078,0.034298931
1,4953,0.004057617,0.031743164
1,4457,0.00402181,0.032841797
1,1372,0.003999023,0.033203125
1,1372,0.003999023,0.033310547
1,1101,0.004283921,0.024838967
1,1400,0.004235761,0.034563697
1,4453,0.004396624,0.032724609
1,3578,0.004524972,0.035946568
1,4328,0.004470215,0.029091797
1,0,0.004571104,0.034145904
1,0,0.005008282,0.027783821
1,3817,0.004991187,0.025028821
1,4898,0.005094727,0.031728516
1,3684,0.005101842,0.028653041
1,4946,0.005135129,0.034915743
1,4778,0.005205522,0.025532892
1,4883,0.005272677,0.030894506
1,3682,0.005286959,0.024421575
1,4951,0.005483941,0.033642578
1,0,0.005328036,0.027022372
1,2261,0.005335938,0.023988281
1,865,0.005606357,0.023451705
1,3597,0.005546875,0.029466797
1,4831,0.005688319,0.028895224
1,863,0.005703639,0.023781353
